,Date,Target,S,err,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
35,2/11/2022 7:50:00,55 Cnc,0.18,0.01,,,,,,,,,,,,,,,,,,,,,,
36,2/11/2022 7:58:00,55 Cnc,0.18,0.01,,,,,,,,,,,,,,,,,,,,,,
37,2/11/2022 8:05:00,55 Cnc,0.18,0.01,,,,,,,,,,,,,,,,,,,,,,
38,2/20/2022 2:36:00,55 Cnc,0.18,0.01,,,,,,,,,,,,,,,,,,,,,,
39,2/20/2022 2:43:00,55 Cnc,0.18,0.01,,,,,,,,,,,,,,,,,,,,,,
40,2/20/2022 2:51:00,55 Cnc,0.18,0.01,,,,,,,,,,,,,,,,,,,,,,
41,2/20/2022 2:58:00,55 Cnc,0.18,0.01,,,,,,,,,,,,,,,,,,,,,,
42,2/20/2022 3:06:00,55 Cnc,0.18,0.01,,,,,,,,,,,,,,,,,,,,,,
43,2/20/2022 3:13:00,55 Cnc,0.18,0.01,,,,,,,,,,,,,,,,,,,,,,
44,2/20/2022 3:21:00,55 Cnc,0.18,0.01,,,,,,,,,,,,,,,,,,,,,,
45,2/20/2022 3:28:00,55 Cnc,0.18,0.01,,,,,,,,,,,,,,,,,,,,,,
46,2/20/2022 3:36:00,55 Cnc,0.18,0.01,,,,,,,,,,,,,,,,,,,,,,
47,2/20/2022 3:44:00,55 Cnc,0.18,0.01,,,,,,,,,,,,,,,,,,,,,,
48,2/20/2022 3:51:00,55 Cnc,0.18,0.01,,,,,,,,,,,,,,,,,,,,,,
49,2/20/2022 3:59:00,55 Cnc,0.18,0.01,,,,,,,,,,,,,,,,,,,,,,
50,2/20/2022 4:06:00,55 Cnc,0.18,0.01,,,,,,,,,,,,,,,,,,,,,,
51,2/20/2022 4:14:00,55 Cnc,0.18,0.01,,,,,,,,,,,,,,,,,,,,,,
52,2/20/2022 4:22:00,55 Cnc,0.18,0.01,,,,,,,,,,,,,,,,,,,,,,
53,2/20/2022 4:29:00,55 Cnc,0.18,0.01,,,,,,,,,,,,,,,,,,,,,,
54,2/20/2022 4:37:00,55 Cnc,0.18,0.01,,,,,,,,,,,,,,,,,,,,,,
55,2/20/2022 4:44:00,55 Cnc,0.18,0.01,,,,,,,,,,,,,,,,,,,,,,
